transaction_id,row_number,date,initials,source,company,amount,status,matched_source,target_sheet,target_header,confidence,processing_notes,filed_date
af11b6cac7ab,80,01/07/25,ZAW,BAKASHI,PUFFIN,-80.0,low_confidence,BAKASHI,PUFFIN C.O.G.,SOIL,1.0,Matched to 'BAKASHI' with confidence 1.0,2025-07-20 19:52:35
3c9c009a20b8,206,01/20/25,GSW,MARIJUANA WASTE,PUFFIN,-70.0,low_confidence,MARIJUANA WASTE,NUGZ EXPENSES,(MJ) WASTE,1.0,Matched to 'MARIJUANA WASTE' with confidence 1.0,2025-07-20 19:54:14
9a3caa172820,207,01/20/25,JJN2,FUEL REIMBURSEMENT,PUFFIN,-30.0,low_confidence,FUEL REIMBURSEMENT,PUFFIN C.O.G.,FUEL,1.0,Matched to 'FUEL REIMBURSEMENT' with confidence 1.0,2025-07-20 19:54:14
af11b6cac7ab,80,01/07/25,ZAW,BAKASHI,PUFFIN,-80.0,high_confidence,BAKASHI,PUFFIN C.O.G.,SOIL,1.0,Matched to 'BAKASHI' with confidence 1.0,2025-07-21 13:44:19
3c9c009a20b8,206,01/20/25,GSW,MARIJUANA WASTE,PUFFIN,-70.0,high_confidence,MARIJUANA WASTE,NUGZ EXPENSES,(MJ) WASTE,1.0,Matched to 'MARIJUANA WASTE' with confidence 1.0,2025-07-21 13:49:46
9a3caa172820,207,01/20/25,JJN2,FUEL REIMBURSEMENT,PUFFIN,-30.0,high_confidence,FUEL REIMBURSEMENT,PUFFIN C.O.G.,FUEL,1.0,Matched to 'FUEL REIMBURSEMENT' with confidence 1.0,2025-07-21 13:49:46
af11b6cac7ab,80,01/07/25,ZAW,BAKASHI,PUFFIN,-80.0,high_confidence,BAKASHI,PUFFIN C.O.G.,SOIL,1.0,Matched to 'BAKASHI' with confidence 1.0,2025-07-21 13:49:57
d48cbe01f02e,313,01/29/25,JKS,CRYSTAL CLEAR,PUFFIN,-240.0,high_confidence,CRYSTAL CLEAR,PUFFIN C.O.G.,EQUIPMENT,1.0,Matched to 'CRYSTAL CLEAR' with confidence 1.0,2025-07-21 13:50:24
af11b6cac7ab,80,01/07/25,ZAW,BAKASHI,PUFFIN,-80.0,high_confidence,BAKASHI,PUFFIN C.O.G.,SOIL,1.0,Matched to 'BAKASHI' with confidence 1.0,2025-07-21 14:05:24
3c9c009a20b8,206,01/20/25,GSW,MARIJUANA WASTE,PUFFIN,-70.0,high_confidence,MARIJUANA WASTE,NUGZ EXPENSES,(MJ) WASTE,1.0,Matched to 'MARIJUANA WASTE' with confidence 1.0,2025-07-21 14:05:50
9a3caa172820,207,01/20/25,JJN2,FUEL REIMBURSEMENT,PUFFIN,-30.0,high_confidence,FUEL REIMBURSEMENT,PUFFIN C.O.G.,FUEL,1.0,Matched to 'FUEL REIMBURSEMENT' with confidence 1.0,2025-07-21 14:05:50
